PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
"Ear, Nose, & Throat, P C ",NE Alabama Regional Medical Center,901 Leighton Ave #601,Anniston,Alabama Sprinkler,,,5/21/1999,1,1,
Executive Plaza Inc,Executive Plaza Inc,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,7/22/1990,1,,
Fedex Ground ,Fedex Ground ,35 Fish Hatchery Lane,Anniston,TFP ,TC1610,,10/17/2013,3,,
First Baptist Church of Anniston,First Baptist Church of Anniston,851 Morton Rd,Anniston,Alabama Sprinkler,,,8/25/2003,4,1,
"Flint, Ink","Flint, Ink",104 National Dr,Anniston,Alabama Sprinkler,,,9/25/2002,2,1,
Food Max,Foodmax,1510 S Quintard Avenue,Anniston,Crumpton Sprinkler,,,10/5/1989,2,1,Now Empty BLDG
Fort McClellan - National Guard Academy ,Fort McClellan ,1023 Fort McClellan,Anniston,Alabama Sprinkler,,,12/12/2008,4,1,Now FEMA Noble Training Facility
Garrett Airlines,Garrett Airlines,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,2/3/1992,1,1,Now Honeywell Aerospace
Garrett Airlines,Garrett Airlines,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,3/11/1992,1,1,Now Honeywell Aerospace
Garrett Airlines,Garrett Airlines,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,3/17/1992,1,1,Now Honeywell Aerospace
Garrett Airlines,Garrett Airlines,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,8/29/1990,1,1,Now Honeywell Aerospace
Garrett Airlines,Garrett Airlines,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,8/30/1990,1,1,Now Honeywell Aerospace
Garrett Airlines Service Div,Garrett Airlines Service Div,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,8/21/1986,3,1,Now Honeywell Aerospace
Garrett Airlines Service Div,Garrett Airlines Service Div,1 Cliff Garrett Dr,Anniston,Crumpton Sprinkler,,,12/8/1986,1,1,Now Honeywell Aerospace
GNIK Inc,GNIK Inc,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,7/30/1990,1,1,
Haverty Furniture Co,Haverty Furniture Co,1701 S Quintard Ave,Anniston,Crumpton Sprinkler,,,9/26/1984,1,1,
Home Health Care Agency,Home Health Care Agency,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,10/5/1990,1,1,
Hoover Group,Hoover Group,Coleman Rd,Anniston,Crumpton Sprinkler,,,4/4/1989,1,1,
Jenkins Manufacturing Co,Jenkins Manufacturing Co,1608 Frank Akers Rd,Anniston,Crumpton Sprinkler,,,2/4/1987,2,1,Now Monarch 
Jenkins Manufacturing Co,Jenkins Manufacturing Co,1608 Frank Akers Rd,Anniston,Alabama Sprinkler,,,12/23/1999,3,1,Now Monarch 
Martin's ,Martin's,3100 McClellan Blvd,Anniston,Crumpton Sprinkler,,,1/14/1982,2,1,
Marvin's ,Marvin's ,3100 McClellan Blvd,Anniston,Crumpton Sprinkler,,,1/8/1993,2,,
Morrow Furniture Co,Morrow Furniture Co,117 S Quintard,Anniston,Crumpton Sprinkler,,,5/26/1981,2,1,
National Aluminium Corp,National Aluminium Corp,Trane Industrial Park,Anniston,Crumpton Sprinkler,,,1/12/1987,1,,
Northeast Regional Medical Center ,Northeast Regional Medical Center ,400 E 10th St,Anniston,FPS ,,,2/1/2004,1,1,
Parris Shelter Home,Parris Shelter Home,30 Alan Dr,Anniston,Alabama Sprinkler,,,1/9/2002,1,,
Public Wholesale,Public Wholesale,Quintard Avenue & P St,Anniston,Alabama Sprinkler,,,9/7/1995,2,,
Quad City Fire Department,Quad City Fire Department,4444 Al Hwy 9 ,Anniston,TFP ,TC1547,,4/20/2012,2,,
"R.D. Werner Co, Inc ","R.D. Werner Co, Inc ",100 National Dr,Anniston,Crumpton Sprinkler,,,7/17/1990,2,,
"R.D. Werner Co, Inc ","R.D. Werner Co, Inc ",100 National Dr,Anniston,Crumpton Sprinkler,,,5/20/1992,1,1,
Rockwell International Corp,Rockwell International Corp,A.A.D. Bldg 680,Anniston,Crumpton Sprinkler,,,12/12/1988,1,,
Sneaky Petes,Sneaky Petes,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,3/7/1990,1,,
St. Michaels & All Angels Church ,St. Michaels & All Angels Church ,1000 W. 18th St,Anniston,Crumpton Sprinkler,,,9/9/1985,8,,
Tape - Craft Corp. ,Tape - Craft Corp. ,17 S Hunter St,Anniston,Crumpton Sprinkler,,,3/12/1986,1,,Now Empty BLDG
Tape Craft Inc,Tape Craft ,17 S Hunter St,Anniston,Crumpton Sprinkler,,,4/27/1989,1,1,Now Empty BLDG
Tri - Star,Tri - Star,4400 Sprague Ave ,Anniston,Crumpton Sprinkler,,,12/4/1986,3,1,
Triangle Refiners,Triangle Refiners,,Anniston,Crumpton Sprinkler,,,6/17/1986,6,1,
Urgent Care System ,Urgent Care System ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,4/4/1990,1,1,
Wakefield / Martin Warehouse ,Wakefield/Martin Warehouse ,Greenbrier Rd,Anniston,Crumpton Sprinkler,,,5/5/1989,2,1,
Walgreens,Walgreens,800 Quintard Ave,Anniston,Alabama Sprinkler,,,6/8/2005,1,1,
"Werner Co, Inc. ","Werner Co, Inc. ",100 National Dr,Anniston,Crumpton Sprinkler,,,9/16/1994,3,1,
"Werner Co, Inc. ","Werner Co, Inc. ",100 National Dr,Anniston,Crumpton Sprinkler,,,3/5/1994,1,1,
Williamson Commerce Center ,Williamson Commerce Center ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,6/7/1989,7,1,
Williamson Commerce Center ,Williamson Commerce Center ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,5/8/1990,1,1,
Williamson Commerce Center ,Williamson Commerce Center ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,4/14/1990,1,1,
Williamson Commerce Center ,Williamson Commerce Center ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,9/26/1990,1,1,
Williamson Commerce Center - Architectural Office,Williamson Commerce Center ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,4/7/1990,1,,
Food World,Food World,790 North Brindlee Mountain Parkway,Arab,Crumpton Sprinkler,,,5/8/1991,3,1,
Ryder International,Ryder International,100 Curt Francis Road,Arab,Crumpton Sprinkler,,,12/5/1986,5,1,Now Atrion Medical
Ryder International,Ryder International,100 Curt Francis Road,Arab,Crumpton Sprinkler,,,9/16/1986,3,1,Now Atrion Medical
SCI System ,SCI System ,1600 Hulaco Rd,Arab,Crumpton Sprinkler,,,9/6/1983,1,,
Wellborn Cabinet ,Wellborn Cabinet ,38669 AL-77 ,Ashland ,TFP ,TC1182,,7/29/2005,1,,
Wellborn Cabinet ,Wellborn Cabinet ,38669 AL-77 ,Ashland ,TFP ,TC1185,,8/15/2005,1,,
Wellborn Cabinet ,Wellborn Cabinet ,38669 AL-77 ,Ashland ,TFP ,TC1191,,9/12/2005,1,,
Wellborn Forest Products ,Wellborn Forest Products ,38669 AL-77 ,Ashland ,Crumpton Sprinkler,,,10/2/1987,2,1,
Food Max,FoodMax,603 US Highway 72,Athens,Crumpton Sprinkler,,,4/27/1988,2,1,Now Big Lots 
ALDI Inc ,ALDI Inc ,111 US Hwy 72,Athens ,TFP ,TC1705,,7/24/2015,2,,
Athens High School Addition ,Athens High School,100 US-31 N ,Athens ,TFP ,TC1264,,3/18/2007,1,,
Athens Limestone Hospital - Radiology Dept. Renovation & Exp ,Athens Limestone Hospital,700 Market Street W,Athens ,FPS ,,,7/1/2002,2,1,
Burgreen Prince ,Burgreen Prince ,1007 Market St,Athens ,TFP ,TC1300,TI-1670,11/12/2007,4,,
Limestone County Event Center ,Limestone County Event Center ,114 Pryor St W,Athens ,TFP ,TC1423,,9/22/2009,3,,
Rapha Christian Home,Rapha Christian Home,677 W Covington Avenue ,Attalla,Alabama Sprinkler,,,4/5/2005,1,1,
Rapha Christian Home,Rapha Christian Home,677 W Covington Avenue ,Attalla,Alabama Sprinkler,,,9/21/2001,1,1,
Auburn College of Veterinary Med - Large Animal Teaching Hospital ,Auburn University ,1500 Wire Rd,Auburn,FPS ,,,11/1/2002,8,1,
Auburn University - Facilities Bldg 7 ,Auburn University ,,Auburn,TFP ,TC1500,,7/5/2011,4,,
Flint Crossing Market Centre - HARCO,HARCO,1550 Opelika Road,Auburn,Crumpton Sprinkler,,,10/26/1987,2,,Now Earth Fare
Food Max,FoodMax,1550 Opelika Road,Auburn,Crumpton Sprinkler,,,10/9/1987,3,,Now Earth Fare
Food Max & HARCO Drugs,FoodMax & HARCO Drugs,1550 Opelika Road,Auburn,Crumpton Sprinkler,,,10/7/1987,3,1,Now Earth Fare
Williiamburg Place Apartments ,Williiamburg Place Apartments ,2031 S College St,Auburn,TFP ,TC1364,,5/1/2008,2,,
BCMC - Radiology Phase IV ,BCMC ,985 9th Avenue SW,Bessemer,FPS ,,,6/1/2001,1,,
BCMC - Radiology Phase V,BCMC ,985 9th Avenue SW,Bessemer,FPS ,,,10/1/2001,1,,
Bessemer Carraway Medical Center ,Bessemer Carraway Medical Center ,985 9th Avenue SW,Bessemer,FPS ,,,12/11/2000,1,,
Burger King,Burger King,2229 Bessemer Road,Birmingham,Crumpton Sprinkler,,,6/12/1985,1,,
Cargus Eye Care Suite 132 ,Cargus Eye Care Suite 132 ,4760 Eastern Valley Rd ,McCalla,FPS ,,,4/1/2003,1,1,
City of Hope,City of Hope,1816 6th Avenue ,Bessemer,Alabama Sprinkler,,,2/20/2002,1,1,
Flex-N-Gate ,Flex-N-Gate ,6324 Bay Dr,Bessemer,TFP ,TC1261,TI-1352,2/13/2007,1,,
Flex-N-Gate ,Flex-N-Gate ,6324 Bay Dr,Bessemer,TFP ,TC1302,TI-1352,3/7/2008,1,,
Flex-N-Gate ,Flex-N-Gate ,6324 Bay Dr,Bessemer,TFP ,TC1509,TI-1352,4/26/2011,1,,
Food Giant,Food Giant,700 19th St N,Bessemer,Crumpton Sprinkler,,,1/5/1987,1,1,
Food Max,FoodMax,715 9th Avenue North,Bessemer,Crumpton Sprinkler,,,4/4/1994,2,,
Food Max Supercenter,Westlake Mall,715 9th Avenue North,Bessemer,Crumpton Sprinkler,,,3/7/1993,2,1,
Food World,Food World,1001 W Lake Mall,Bessemer,Crumpton Sprinkler,,,8/19/1983,3,,Now Empty BLDG
