PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Keystone Foods Corp,Keystone Foods Corp,507 Industrial Prkwy,Gadsden,Crumpton Sprinkler,,,10/13/1989,1,,
Keystone Foods Corp,Keystone Foods Corp,507 Industrial Prkwy,Gadsden,Crumpton Sprinkler,,,1/8/1991,1,,
Keystone Foods Corp,Keystone Foods Corp,507 Industrial Prkwy,Gadsden,Crumpton Sprinkler,,,2/2/2004,1,,
Keystone Foods Corp,Keystone Foods Corp,507 Industrial Prkwy,Gadsden,Crumpton Sprinkler,,,2/19/2002,1,,
Leslie's Club ,Leslie's Club ,221 S 3rd St,Gadsden,FPS ,,,5/21/2007,1,,Now Tu'kanoos
Martin Air National Guard,Martin Air National Guard,,Gadsden,Crumpton Sprinkler,,,10/7/1995,2,,
Mid - South Industries,Mid - South Industries,2620 E Meighan Blvd ,Gadsden,Crumpton Sprinkler,,,2/5/1982,1,,Closed
Mid-South Electrics Inc,Mid-South Electrics Inc,2620 E Meighan Blvd ,Gadsden,Crumpton Sprinkler,,,1/18/1996,1,,Closed
New Centurions Inc - New Life for Women's Bldg,New Centurions Inc,102 Centurion Way,Gadsden,Alabama Sprinkler,,,2/3/2009,2,,Now New Life for Women 
North Glencoe Baptist Church,North Glencoe Baptist Church,1119 Chastain Blvd ,Gadsden,Alabama Sprinkler,,,8/9/2005,1,,
North Glencoe Baptist Church,North Glencoe Baptist Church,1119 Chastain Blvd ,Gadsden,Alabama Sprinkler,,,10/26/2005,2,,
Northeast Alabama Eye Surgery ,Northeast Alabama Eye Surgery ,314 S 5th St ,Gadsden,FPS ,,,4/1/2002,3,,
Pensions & Security,Pensions & Security,741 Forrest Avenue ,Gadsden,Crumpton Sprinkler,,,6/8/1976,3,,
Physicians Care Center ,Physicians Care Center ,700 Hutchins Avenue ,Gadsden,Crumpton Sprinkler,,,1/23/1985,2,,
Pizza Time Theatre,Pizza Time Theatre,325 No 3rd St,Gadsden,Crumpton Sprinkler,,,2/6/1983,2,,
Quality of Life Health Services ,Quality of Life Health Services ,1020 Tuscaloosa Ave,Gadsden,FPS ,,,12/1/2006,5,,Now Robert O. Watts Medical Center 
Gadsden Mall - Regis Hairstyles ,Gadsden Mall ,1001 Rainbow Dr,Gadsden,Crumpton Sprinkler,,,7/20/1987,1,,
Riverview Regional Medical Center ,Riverview Regional Medical Center ,600 S 3rd St,Gadsden,FPS ,,,3/1/2003,1,,
Riverview Regional Medical Center ,Riverview Regional Medical Center ,600 S 3rd St,Gadsden,FPS ,,,1/25/2007,1,,
Riverview Woman's Center ,Riverview Woman's Center ,600 S 3rd St,Gadsden,FPS ,,,2/8/2001,1,,
Gadsden Mall - Sears Service Center,Gadsden Mall ,1001 Rainbow Dr,Gadsden,Crumpton Sprinkler,,,1/17/1987,1,,
Speculative Industrial Building ,Speculative Industrial Building ,,Gadsden,Crumpton Sprinkler,,,11/11/1986,4,,
Techtrix Inc ,Techtrix Inc ,525 Plainview ,Gadsden,Crumpton Sprinkler,,,9/19/1989,1,,
Walgreens ,Walgreens,107 E Meighan Blvd,Gadsden,Alabama Sprinkler,,,6/3/2003,1,,
Church of Jesus Christ of Latter-Day Saints,Church of Jesus Christ of Latter-Day Saints,1925 Mt. Olive Rd,Gardendale,FPS ,,,4/1/2006,3,,
CVS Pharamcy Store #4833,CVS Pharamcy,205 Fieldstown Rd ,Gardendale,TFP ,TC1575,,10/30/2012,1,,
Food World,Food World,1309 Decatur Hwy ,Gardendale,Crumpton Sprinkler,,,4/18/1994,1,,Closed 
Gardendale City Hall ,Gardendale City Hall,925 Main St,Gardendale,Crumpton Sprinkler,,,3/7/1989,3,,
Gardendale High School -  Field House ,Gardendale High School,800 Main St,Gardendale,FPS ,,,5/1/2007,1,,
Gardendale Public Safety Center ,Gardendale Public Safety Center ,1309 Decatur Hwy ,Gardendale,TFP ,TC1584,,12/31/2012,2,,
Medical Office Bldg / Lemak Tenant Fit-out,Medical Office Bldg/Lemak Tenant Fit-out,2215 Decatur Hwy,Gardendale,TFP ,TC1512,,6/1/2011,2,,
Walgreens ,Walgreens,100 Fieldstown Rd ,Gardendale,Alabama Sprinkler,,,3/23/2001,1,,
Hytop Sportswear,Hytop Sportswear,P.O. Box 153,Geraldine,Crumpton Sprinkler,,,3/17/1989,1,,
Hytop Sportswear,Hytop Sportswear,P.O. Box 153,Geraldine,Crumpton Sprinkler,,,10/24/1990,1,,
ELDERCARE,ELDERCARE,,Glencoe,Crumpton Sprinkler,,,9/7/1984,5,,
Meadow Wood Retirement ,Meadow Wood Retirement,509 Pineview Ave ,Glencoe,Crumpton Sprinkler,,,9/7/1984,4,,
Daystar Church ,Daystar Church ,200 Daystar Dr ,Cullman ,TFP ,TC1362,,4/30/2008,3,,
Hwashin America Corp - High Bay Expansion ,Hwashin America Corp ,661 Montgomery Hwy,Greenville,TFP ,TC1430,,3/16/2010,2,,
Hwashin Press Line Mezzanine ,Hwashin Press Line Mezzanine ,661 Montgomery Hwy,Greenville,TFP ,TC1530,,9/29/2011,1,,
Kiva Dunes Village Condos ,Kiva Dunes Village Condos ,815 Plantation Dr ,Gulf Shores,FPS ,,,7/1/2005,11,,
Belk Department Store ,Belk Department Store ,11655 US Hwy 431 S ,Guntersville,FPS ,,,3/1/2005,4,,
Big Springs Village,Big Springs Village,11521 US Hwy 431,Guntersville,FPS ,,,12/1/2004,4,,Empty BLDG 
Big Springs village - CATO,Big Springs Village ,11521 US Hwy 431,Guntersville,FPS ,,,2/1/2005,1,,Empty BLDG 
Big Springs Village - Dollar General ,Big Springs Village ,11521 US Hwy 431,Guntersville,FPS ,,,2/1/2005,1,,Empty BLDG 
Big Springs village - Dollar Tree,Big Springs Village ,11521 US Hwy 431,Guntersville,FPS ,,,2/1/2005,1,,Empty BLDG 
Big Springs village - The Shoe Dept. ,Big Springs Village ,11521 US Hwy 431,Guntersville,FPS ,,,2/1/2005,1,,Empty BLDG 
First Baptist Church of Guntersville ,First Baptist Church of Guntersville ,1000 Gunter Ave ,Guntersville,FPS ,,,5/1/2008,3,,
First United Methodist Church - New Contemporary Worship Center ,First United Methodist Church ,609 Blount Avenue ,Guntersville,TFP ,TC1566,,8/10/2012,1,,
Monsanto Textiles Co,Monsanto Textiles Co,,Guntersville,Crumpton Sprinkler,,,5/24/1980,1,,
North Alabama Pipe,North Alabama Pipe,50501 Sword St ,Guntersville,Crumpton Sprinkler,,,10/1/1982,1,,
Fontaine Trailer Co ,Fontaine Trailer Co ,430 Sam Letson Industrial Rd ,Haleyville,FPS ,,,1/12/2007,1,,
Food World,FoodWorld,1500 Military St S ,Hamilton,Crumpton Sprinkler,,,7/19/1991,3,,Closed 
New Hamilton House,New Hamilton House,125 Walnut Rd,Hamilton,Alabama Sprinkler,,,8/27/2001,1,,
Alabama Feed Products Inc ,Alabama Feed Products Inc ,1170 County Road 508,Hanceville,Crumpton Sprinkler,,,9/21/2004,2,,
Alabama Feed Products Inc ,Alabama Feed Products Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,3/28/1996,4,,
Alabama Feed Products Inc ,Alabama Feed Products Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,1/16/1996,1,,
Alabama Feed Products Inc ,Alabama Feed Products Inc ,1170 County Road 508,Hanceville,Crumpton Sprinkler,,,11/7/1990,2,,
American Proteins Inc,American Proteins ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,2/9/2005,2,,
American Proteins Inc,American Proteins ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,5/25/2002,2,,
American Proteins Inc,American Proteins Inc,1170 County Road 508,Hanceville,Alabama Sprinkler,,,2/7/2005,2,,
American Proteins Inc,American Proteins Inc,1170 County Road 508,Hanceville,Alabama Sprinkler,,,9/21/1996,2,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,4/14/1997,1,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,8/26/1996,3,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,8/28/1996,3,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,8/12/1999,2,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,11/4/1998,2,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,5/20/1997,1,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,4/14/1997,1,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,5/25/2002,2,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,6/3/1997,1,,
American Proteins Inc ,American Proteins Inc ,1170 County Road 508,Hanceville,Alabama Sprinkler,,,4/24/2008,2,,
American Proteins Inc ,American Proteins Inc ,1180 County Rd 508,Hanceville,Alabama Sprinkler,,,2/28/1999,1,,
Harmony School,Harmony School,4910 County Rd 940 ,Logan ,Alabama Sprinkler,,,11/28/2007,1,,
Hartselle City Board of Education - New Field House ,Hartselle City Board of Education ,305 College St NE,Hartselle,TFP ,TC1558,,10/1/2012,1,,
Hartselle Hospital,Hartselle Hospital,,Hartselle,Crumpton Sprinkler,,,12/15/1978,5,,
Heflin Manufactoring Corp. ,Heflin Manufactoring Corp. ,US Hwy 78,Heflin,Crumpton Sprinkler,,,2/5/1986,2,,
Mcdonald's Restaurant ,Mcdonald's Restaurant ,1816 Almon St ,Heflin,TFP ,TC1563,,9/5/2012,2,,
Helena Marketplace,Helena Marketplace,335 Helena Marketplace,Helena,Alabama Sprinkler,,,2/27/1998,1,,
Walgreens ,Walgreens ,2381 Helena Rd ,Helena,FPS ,,,10/1/2007,1,,
Winn Dixie Food Store,Winn Dixie Food Store,335 Helena Marketplace,Helena,Alabama Sprinkler,,,4/14/1998,2,,
Hokes Bluff School,Hokes Bluff School,,Hokes Bluff,Crumpton Sprinkler,,,1/4/1978,4,,
High Cliff Adult Home,High Cliff Adult Home,,Holt,Crumpton Sprinkler,,,12/20/1989,1,,
Alabama Department of Enviromental Managament ,Alabama Department of Enviromental Managament ,110 Vulcan Rd ,Homewood,TFP ,TC1062,,4/3/2001,2,,
Alabama Orthopaedic Center PC ,Alabama Orthopaedic Center PC ,3525 Independence Dr,Homewood,FPS ,,,4/19/2004,1,,
Aldi Food Store #36 ,Aldi Food Store #36 ,428  Green Springs Hwy ,Homewood,TFP ,TC1274,,4/25/2007,2,,
Armstong Moving & Storage,Armstong Moving & Storage,301 Snow Drive,Homewood,Crumpton Sprinkler,,,3/4/1983,1,,Now Ace Cheer 
Brookwood Village Mall - August Max,Brookwood Village Mall,780 Brookwood Village ,Birmingham,Crumpton Sprinkler,,,3/9/1985,1,,
Barbers Ice cream Co,Barbers Ice cream Co,36 Barber Court,Homewood,Crumpton Sprinkler,,,8/9/1988,1,,
Bellsouth Telecommunications Inc,Bellsouth Telecommunications Inc,,Homewood,Crumpton Sprinkler,,,12/30/1992,19,,
Brookwood Eye Tower ,Brookwood Eye Tower,704 Brookwood Village ,Homewood,Crumpton Sprinkler,,,9/13/1993,9,,
Brookwood Eye Tower Tenants,Brookwood Eye Tower Tenants,704 Brookwood Village ,Homewood,Crumpton Sprinkler,,,6/15/1994,12,,
Brookwood Medical Center ,Brookwood Medical Center ,2010 Brookwood Medical Center Dr,Homewood,FPS ,,,5/1/2007,1,,
Brookwood Medical Center ,Brookwood Medical Center ,2010 Brookwood Medical Center Dr,Homewood,FPS ,,,7/25/2007,1,,
Brookwood Medical Center ,Brookwood Medical Center ,2010 Brookwood Medical Center Dr,Homewood,FPS ,,,8/11/2006,1,,
Brookwood Medical Center - Cardiovascular Consultants ,Brookwood Medical Center ,2010 Brookwood Medical Center Dr,Homewood,FPS ,,,11/20/2008,1,,
Brookwood Medical Center - Employee Parking Deck ,Brookwood Medical Center ,2010 Brookwood Medical Center Dr,Homewood,TFP ,TC1013,,2/6/1999,11,,
Brookwood Medical Center - Internal Medicine Services & Shades Valley Int. Medicine ,Brookwood Medical Center ,2010 Brookwood Medical Center Dr,Homewood,FPS ,,,8/1/2000,1,,
Brookwood Medical Center - The Cyberknife ,Brookwood Medical Center - Cyber Knife,2010 Brookwood Medical Center Dr,Homewood,TFP ,TC1379,,9/5/2008,1,,
Brookwood Medical Plaza,Brookwood Medical Plaza,513 Brookwood Blvd,Homewood,FPS ,,,2/1/2006,1,,
Brookwood Medical Plaza - Drs. Bryant & Blum ,Brookwood Medical Plaza ,2010 Brookwood Medical Center Dr,Homewood,FPS ,,,2/1/2001,1,,
Brookwood Metroplex Bldg II ,Brookwood Metroplex Bldg II ,1 Metroplex Dr ,Homewood,FPS ,,,10/1/2000,2,,
Brookwood Metroplex Building II,Hoar Construction,1 Metroplex Dr ,Homewood,FPS ,,,5/1/2008,2,,
Brookwood Metroplex Building II,Hoar Construction,1 Metroplex Dr ,Homewood,FPS ,,,5/1/2007,1,,
Brookwood Metroplex Building II - Training & Break Room,Hoar Construction,1 Metroplex Dr ,Homewood,FPS ,,,3/1/2008,1,,
Brookwood Village - Mattress Firm ,Brookwood Village ,780 Brookwood Village ,Homewood,TFP ,TC1686,,11/13/2014,1,,
Brown Mackie College Education Management Corp ,Brown Mackie College Education Management Corp ,105 Vulcan Rd,Homewood,TFP ,TC1502,,1/21/2011,1,,
Brookwood Village - Bruno's,Brookwood Mall,780 Brookwood Village ,Homewood,Crumpton Sprinkler,,,7/14/1988,2,,Closed
Bruno's Foodmax,Bruno's Foodmax,100 Green Springs Hwy,Homewood,Crumpton Sprinkler,,,6/5/2000,1,,
Capital Strategies ,Capital Strategies ,2 Metroplex Dr,Homewood,FPS ,,,4/1/2004,1,,
Capstone Building Corp ,Capstone Building Corp ,3415 Independence Dr ,Birmingham,FPS ,,,12/15/2000,3,,
Samford - Center for the Healing Arts ,Samford University,800 Lakeshore Dr ,Homewood,Crumpton Sprinkler,,,10/28/1987,3,,
CFP Day Work ,CFP Day Work ,,Homewood,FPS ,,,10/1/2003,1,,
Children's Dance Foundation ,Children's Dance Foundation ,1715 27th Court S ,Homewood,FPS ,,,12/1/2002,3,,
Covenant Classical Preschool - Daycare Bldg ,Covenant Classical Preschool,151 Convenant Way ,Homewood,TFP ,TC1632,,10/14/2014,3,,
Covenant Presbyterian Church,Covenant Presbyterian Church,65 Old Montgomery Hwy ,Homewood,FPS ,,,4/1/2007,4,,
Darryl's Restaurant ,Darryl's Restaurant ,150 Green Springs Hwy,Birmingham,Crumpton Sprinkler,,,7/3/1981,2,,Closed
Dawson Memorial Baptist Church ,Dawson Memorial Baptist Church ,1114 Oxmoor Rd,Birmingham,FPS ,,,10/1/2004,4,,
Exceptional Foundation Rec. Center ,Exceptional Foundation Rec. Center ,1616 Oxmoor Rd ,Birmingham,FPS ,,,2/1/2006,1,,
Food Max,FoodMax,,Homewood,Crumpton Sprinkler,,,3/6/1994,4,,
Green Springs Building,Green Springs Building,813-A Green Springs Ave,Homewood,TFP ,TC1165,,3/7/2005,1,,
Greensprings Plaza ,Greensprings Plaza ,48 Green Springs Hwy ,Homewood,TFP ,TC1286,,5/6/2007,1,,
Hart - Greer Inc,Hart - Greer Inc,224 Oxmoor Circle,Homewood,Crumpton Sprinkler,,,9/5/1984,3,,Now Handy Tv Appliance 
Hoar Office Expansion ,Hoar Construction,2 Metroplex Dr,Birmingham,FPS ,,,1/1/2007,1,,
Homewood Fleet Maintenance Facility,Homewood Fleet Maintenance Facility,68 Bagby Dr,Homewood,Alabama Sprinkler,,,11/14/2007,1,,
Homewood High School ,Homewood High School ,7 Hollywood Blvd ,Homewood,TFP ,TC1221,,5/31/2006,2,,Now Shades Cahaba Elementary School 
Homewood Primetimers ,Homewood Primetimers ,816 Oak Grove Rd,Homewood,FPS ,,,11/1/2001,3,,
Homewood Public Safety Building,Homewood Public Safety Building,1833 29th Avenue S,Homewood,Alabama Sprinkler,,,9/10/1998,1,,
Hyperbarc Center of Alabama ,Hyperbarc Center of Alabama ,3401 Independence Drive ,Birmingham,FPS ,,,10/1/2006,1,,
Jinsei Sushi,Jinsei Sushi,1830 29th Ave S,Birmingham,TFP ,TC1195,,12/8/2005,1,,
K - Mart Shopping Center,K - Mart Shopping Center,230 Green Springs Hwy,Homewood,Crumpton Sprinkler,,,8/22/1984,2,,
O'Reily Automotive ,O'Reily Automotive ,48 Green Springs Hwy ,Homewood,TFP ,TC1136,,5/4/2004,1,,
Parkway LLC ,Parkway LLC ,,Homewood,FPS ,,,1/1/2001,8,,
Paw Paw Patch,Paw Paw Patch,410 Green Springs Hwy,Homewood,Crumpton Sprinkler,,,10/24/1985,4,,
Pope Industries,Pope Industries,117C Citation Court,Homewood,Crumpton Sprinkler,,,3/23/1994,1,,Now McConnell Sales & Engineering Corp 
PPG Industries Inc,PPG Industries Inc,135 West Valley Avenue ,Homewood,Crumpton Sprinkler,,,8/23/1991,3,,Now Window World 
Pro-Assurance ,Pro-Assurance ,100 Brookwood Place ,Birmingham,TFP ,TC1126,,12/17/2003,6,,
Samford - Beeson Student Center ,Samford University,800 Lakeshore Dr ,Homewood,FPS ,,,8/22/2006,1,,
Samford - Beeson Student Center ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,6/1/2001,11,,
Samford - Beeson Student Center ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,12/3/2004,1,,
Samford - Center for the Healing Arts ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2008,1,,
Samford - Cumberland Law School ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,6/1/2005,4,,
Samford - Cumberland Law School ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,6/1/2003,2,,
Samford - Football Field House ,Samford ,800 Lakeshore Dr ,Homewood,TFP ,TC1400,,2/1/2009,5,,
Samford - Harrison Theater ,Samford University,800 Lakeshore Dr ,Homewood,FPS ,,,7/1/2006,1,,
Samford - Housing East Campus  ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,1/1/2004,4,,
Samford - Housing East Campus  ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2002,4,,
Samford - Ingalls Hall ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2003,3,,
Samford - Moot Courtoom Renovations ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2002,1,,
Samford - Moot Courtroom Renovations ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2002,1,,
Samford - Russell Hall Renovation ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,1/1/2003,8,,
Samford - Science Center ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,2/1/2001,24,,
Samford - Siebert Gym ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,9/1/2000,3,,
Samford - Smith Hall,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2001,9,,
Samford - Student Living Bldg West Housing ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2005,3,,
Samford - Student Living Bldg West Housing ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,1/1/2003,3,,
Samford - Student Living Bldg West Housing ,Samford ,800 Lakeshore Dr ,Homewood,FPS ,,,5/1/2002,5,,
Samford - Student Living Bldg West Housing ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,1/1/2004,3,,
Samford - World Language Center ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,6/1/2001,1,,
Samford Housing East Campus ,Samford  ,800 Lakeshore Dr ,Homewood,FPS ,,,1/1/2003,5,,
Samford Housing East Campus ,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,1/1/2005,3,,
Samford University,Samford University ,800 Lakeshore Dr ,Homewood,Crumpton Sprinkler,,,5/24/1982,1,,
Samford University,Samford,800 Lakeshore Dr ,Homewood,FPS ,,,6/11/2004,1,,
Samford University   ,Samford University   ,800 Lakeshore Dr ,Homewood,Crumpton Sprinkler,,,10/12/1983,1,,
Samford University - Law Library ,Samford University - Law Library ,800 Lakeshore Dr ,Homewood,Crumpton Sprinkler,,,3/20/1993,11,,
Somerby at University Park ,Somerby at University Park ,400 University Park Dr ,Homewood,FPS ,,,4/1/2002,15,,
Southtrust Cafeteria ,Southtrust Cafeteria ,,Homewood,FPS ,,,8/1/2002,1,,
Southtrust Wildwood II,Southtrust Wildwood II,210 Wildwood Prkwy,Homewood,FPS ,,,1/1/2005,1,,
Southtrust Wildwood III,Southtrust Wildwood III,210 Wildwood Prkwy,Homewood,FPS ,,,9/1/2001,15,,
Storm Water Management - Tenant Fit-Up,Storm Water Management ,218 Summit Pkwy,Homewood,TFP ,TC1392,,12/19/2008,1,,
Super 8 Hotel ,Super 8 Hotel ,140 Vulcan Rd,Homewood,Crumpton Sprinkler,,,8/11/1986,3,,
Union State Bank,Union State Bank,2200 Lakeshore Dr ,Homewood,FPS ,,,5/1/2003,1,,
V. Richards Market ,V. Richards Market ,930 Oxmoor Rd,Homewood,TFP ,TC1025,TI-1112,7/13/1999,1,,
Vincent's Market,Vincent's Market,531 Brookwood Village,Homewood,Crumpton Sprinkler,,,7/13/1992,3,,Now Target 
Wachovia ,Wachovia ,200 Wildwood Pkwy ,Homewood,FPS ,,,5/1/2005,1,,Now Wells Fargo 
Wachovia ,Wachovia ,200 Wildwood Pkwy ,Homewood,FPS ,,,8/2/2005,1,,Now Wells Fargo 
Whitaker & Rawson ,Whitaker & Rawson ,3332 Old Montgomery Hwy,Birmingham,FPS ,,,4/1/2008,1,,
Wildwood Centre - Office Warehouse ,Wildwood Centre,211 Lakeshore Prkwy ,Homewood,Crumpton Sprinkler,,,6/17/1991,1,,
Wildwood Express ,Wildwood Express ,231 State Farm Prkwy ,Homewood,FPS ,,,3/1/2002,2,,
Wildwood Express - Bear Rock Café ,Wildwood Express ,148 Wildwood Prkwy ,Homewood,FPS ,,,10/1/2002,1,,Closed
Wildwood Express - Moe's Southwestern Grill ,Wildwood Express ,231 State Farm Prkwy ,Homewood,FPS ,,,3/1/2002,3,,
Wildwood Express - Moe's Southwestern Grill ,Wildwood Express ,231 State Farm Prkwy ,Homewood,FPS ,,,11/1/2002,1,,
Wildwood Express - Planet Smoothie ,Wildwood Express ,231 State Farm Prkwy ,Homewood,FPS ,,,11/1/2002,1,,
Wildwood North Shopping Center ,Wildwood North Shopping Center ,140 Wildwood Prkwy ,Homewood,Crumpton Sprinkler,,,1/31/1995,10,,
Samford - Wright Center ,Samford ,872 Montague Dr ,Birmingham ,FPS ,,,7/1/2001,2,,
33 Inverness,33 Inverness,33 Inverness Center Prkwy ,Hoover,FPS ,,,7/1/2000,9,,
33 Inverness,33 Inverness,33 Inverness Center Prkwy ,Hoover,FPS ,,,6/1/2000,1,,
ABC Store ,ABC Store ,,Hoover,FPS ,,,5/1/2002,1,,
AHEPA 3 Senior Living Facility ,AHEPA 3 Senior Living Facility ,3320 Old Columbina Rd ,Vestavia Hills ,TFP ,TC1017,,12/23/1998,3,,
Allstate  ,Allstate  ,3000 Meadow Lake Dr ,Hoover,FPS ,,,1/1/2002,3,,
Allstate Med Pay ,Allstate Med Pay ,3000 Meadow Lake Dr ,Hoover,FPS ,,,9/1/2002,1,,
Amsouth ,Amsouth ,3000 Riverchase Galleria ,Hoover,FPS ,,,9/1/2001,1,,Closed
Amsouth - 6th Flr File Room,Amsouth ,3000 Riverchase Galleria ,Hoover,FPS ,,,5/1/2003,1,,Closed
Amsouth Riverchase ,Amsouth Riverchase ,3000 Riverchase Galleria ,Hoover,FPS ,,,10/1/2003,1,,Closed
At Home,At Home,5501 Grove Blvd,Hoover,TFP ,TC1668,,8/11/2014,4,,
Baptist Health Systems ,Baptist Health Systems ,5201 Princeton Way Suite 701,Hoover,FPS ,,,7/26/2007,1,,
Barfield Murphy Shank & Smith ,Barfield Murphy Shank & Smith ,2189 Pkwy Lak Dr ,Hoover,FPS ,,,12/1/2007,3,,
Biocryst,Biocryst,2190 Pkwy Lake Dr,Hoover,FPS ,,,10/2/2006,1,,
Biocryst  ,Biocryst  ,2190 Pkwy Lake Dr,Hoover,FPS ,,,1/1/2001,1,,
Biocryst Phase II ,Biocryst Phase II ,2190 Pkwy Lake Dr,Hoover,FPS ,,,9/1/2001,1,,
BLR Further ,BLR Further ,1600 Resource Dr,Hoover,TFP ,TC1515,,6/7/2011,2,,
Blue Cross Blue Shield - Medicare Reolation ,Blue Cross Blue Shield,,Hoover,FPS ,,,6/1/2004,5,,
Blue Cross Blue Shield of Alabama ,Blue Cross Blue Shield of Alabama ,Meadowbrook 500 Bldg ,Hoover,TFP ,TC1542,,2/16/2012,2,,
Brookwood Medical Clinic  - Publix/Hwy 150 Clinic ,Brookwood Medical Clinic ,,Hoover,TFP ,TC1568,,9/13/2012,1,,
Bruno's,Bruno's ,3780 Riverchase Village ,Hoover,Crumpton Sprinkler,,,4/12/1983,4,,Closed 
Bruno's,Bruno's,2250 Alabama 150 ,Hoover,Alabama Sprinkler,,,7/21/2001,2,,Closed 
Cedar Brook Apartments ,Cedar Brook Apartments ,3639 Log Trail Dr,Hoover,FPS ,,,8/2/2007,3,,
Chace Landing ,Chace Landing ,473 Chase Cir S ,Hoover,TFP ,TC1397,,2/13/2009,2,,Closed 
Chase Corporate Center ,Chase Corporate Center ,2 Chase Corporate Dr ,Hoover,Crumpton Sprinkler,,,1/24/1985,3,,
Chase Corporate Center ,Chase Corporate Center ,2 Chase Corporate Dr ,Hoover,Crumpton Sprinkler,,,2/16/1987,4,,
Chase Lake Office Building,Chase Lake Office Building,2 Chase Corporate Dr ,Hoover,Alabama Sprinkler,,,8/13/2003,2,,
Citation Corp ,Citation Corp,2600 Resource Dr ,Hoover,FPS ,,,10/9/2002,2,,
Costco ,Costco ,3650 Galleria Circle ,Hoover,FPS ,,,10/1/2000,1,,
Costco ,Costco ,3650 Galleria Circle ,Hoover,FPS ,,,10/1/2003,8,,
Covenant Classical School,Covenant Classical School,5390 Magnolia Trace ,Hoover,Alabama Sprinkler,,,11/15/1999,1,,
CVS Pharmacy Store #4889,CVS Pharmacy Store #4889,1881 Chace Dr ,Hoover,TFP ,TC1393,,2/9/2009,2,,
Doster Construction Co. ,Doster Construction Co. ,2100 International Park Dr,Birmingham,FPS ,,,8/1/2004,2,,
Doster Construction Co. ,Doster Construction Co. ,2100 International Park Dr,Birmingham,FPS ,,,2/1/2007,1,,
Fairpoint Communications ,Fairpoint Communications ,2700 Corporate Dr ,Hoover,FPS ,,,5/1/2000,3,,
Fish Market ,Fish Market ,5409 US-280 ,Birmingham ,TFP ,TC1129,,2/14/2005,3,,
Five Guys at Chase Landing ,Five Guys at Chase Landing ,4730 Chase Circle Suite 100 ,Hoover,TFP ,TC1417,,6/9/2009,1,,
Food Max,FoodMax,Hwy 31 S @ Hwy 150,Hoover,Crumpton Sprinkler,,,4/5/1994,3,,
Food World,Food World,Valleydale Rd,Hoover,Crumpton Sprinkler,,,6/13/1988,3,,
Food World,FoodWorld,Valleydale Rd,Hoover,Crumpton Sprinkler,,,6/13/1988,3,,
Food World,Food World,,Hoover,Crumpton Sprinkler,,,6/4/1987,1,,
Gary C. Wyatt Inc,Gary C. Wyatt Inc,4527 Southlake Pkwy ,Hoover,FPS ,,,7/28/2004,1,,Hanna Steel Corp 
Greenpoint Credit ,Greenpoint Credit ,3000 Riverchase Galleria ,Hoover,FPS ,,,4/1/2001,1,,
Greystone Legacy,Greystone Legacy,4100 Greystone Dr,Hoover,FPS ,,,2/1/2000,6,,
